[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -0.751200 Y -0.228100 Z 7.997400
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Tank_Cylinder.004
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -0.682900 Y -0.150300 Z 7.468600
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Tank_Cylinder.005
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -0.682900 Y -0.150300 Z 7.073700
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lever_Base_Cube.001
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -1.406800 Y 0.037900 Z 0.686200
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lever_Base_Cube.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -1.412800 Y 0.042400 Z 1.079800
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lever_Base_Cube.003
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -1.412800 Y 0.042400 Z 1.476800
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Health_Cube.001
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -4.536300 Y 3.856600 Z 6.165100
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lootbox_Base_Cube.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 4.515600 Y 1.776400 Z 6.639100
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lootbox_Top_Cube.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 4.605000 Y 1.776400 Z 6.639100
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Tank_Cylinder.006
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 4.430000 Y 1.804400 Z 6.766400
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Tank_Cylinder.007
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 4.665300 Y 1.804400 Z 6.766400
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Tank_Cylinder.008
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 4.665300 Y 1.804400 Z 6.533600
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Pickup_Tank_Cylinder.009
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 4.430000 Y 1.804400 Z 6.542900
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Sign_Corner_3_Fenced_Plane.001
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -1.359300 Y -1.001400 Z 5.665100
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Rail_Corner_2_Cube.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -4.276400 Y 2.933300 Z 5.769000
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lever_Base_Cube.004
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -6.387900 Y 2.934300 Z 7.475800
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Sign_Corner_Small1_Plane.001
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -5.349800 Y 3.590800 Z 6.769700
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Sign_Corner_Small1_Plane.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -6.196300 Y 4.050600 Z 6.497700
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Collectible_Board_Cube.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X 0.526600 Y 0.438400 Z 6.479200
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Platform_4x4_Empty_Cube.001
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -5.977300 Y 2.406600 Z 14.034900
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Support_Long_Plane.001
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -5.990300 Y 2.998900 Z 15.990000
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Support_Long_Plane.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -4.205800 Y 2.983900 Z 14.062700
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Support_Long_Plane.003
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -7.754500 Y 2.983900 Z 14.062700
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Lootbox_Base_Cube.003
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -6.017000 Y -11.579700 Z 14.104900
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Sign_Corner_3_Fenced_Plane.002
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Location: X -4.801200 Y 0.741800 Z 13.039600
[Wed Sep 13 23:26:07 2023] ThreadID[4788]	[INFO]	Model Detected: Sign_Corner_3_Fenced_Plane.003
